month,item,due_day_typical,owner,status,filed_on,amount_ngn,receipt_link,notes
2026-01,VAT return + remittance,21,Accountant,todo,,,"",
2026-01,PAYE remittance (LIRS),10,Accountant,todo,,,"",
2026-01,Pension remittance,7,Founder,todo,,,"",
2026-01,WHT schedule,14,Accountant,todo,,,"",
2026-02,VAT return + remittance,21,Accountant,todo,,,"",
2026-02,PAYE remittance (LIRS),10,Accountant,todo,,,"",
2026-02,Pension remittance,7,Founder,todo,,,"",
2026-03,VAT return + remittance,21,Accountant,todo,,,"",
2026-03,Q1 books close,31,Founder,todo,,,"",
2026-06,CAC annual returns pack,30,Founder,todo,,,"confirm with CAC notice",
2026-06,CIT planning / accountant briefing,15,Accountant,todo,,,"not legal advice",
2026-12,Year-end invoice cutoff,20,Founder,todo,,,"",
2026-12,Contractor WHT cleanup,31,Accountant,todo,,,"",
